emp_no,dept_no,from_date,to_date
13122,d004,1992-07-19,1993-11-04
13122,d005,1992-01-22,1992-07-19
13123,d005,1997-12-19,9999-01-01
13124,d007,1985-03-17,9999-01-01
13125,d005,1992-02-05,9999-01-01
13126,d004,1994-03-08,9999-01-01
13127,d004,1996-03-29,9999-01-01
13128,d002,1994-12-15,9999-01-01
13129,d001,1997-11-17,9999-01-01
13130,d004,1987-11-28,1989-01-10
13131,d002,1996-06-24,9999-01-01
13132,d005,1994-01-18,9999-01-01
13133,d001,1985-09-03,1991-06-13
13133,d009,1991-06-13,9999-01-01
13134,d004,1987-10-23,9999-01-01
13135,d005,1995-05-26,9999-01-01
13136,d005,1998-10-19,9999-01-01
13137,d004,1994-03-25,9999-01-01
13138,d001,1985-08-27,1994-07-31
13139,d006,1999-12-30,9999-01-01
13140,d008,1999-05-30,9999-01-01
13141,d004,1993-07-07,9999-01-01
13141,d005,1990-08-24,1993-07-07
13142,d007,1993-04-16,2000-02-18
13143,d004,1990-02-25,9999-01-01
13144,d002,1989-06-19,9999-01-01
13145,d005,1989-05-19,9999-01-01
13146,d007,1985-05-25,9999-01-01
13147,d007,1993-06-29,9999-01-01
13148,d004,1987-10-05,9999-01-01
13149,d005,1992-11-05,1996-02-20
13150,d004,1991-06-15,1998-01-03
13150,d006,1998-01-03,9999-01-01
13151,d004,1994-05-16,9999-01-01
13152,d004,1985-11-28,9999-01-01
13153,d004,1995-10-05,9999-01-01
13154,d007,1988-07-29,9999-01-01
13155,d004,1998-03-19,9999-01-01
13156,d005,1992-08-18,9999-01-01
13157,d001,1999-04-10,9999-01-01
13158,d007,1993-02-22,1993-09-29
13159,d002,1999-08-12,9999-01-01
13160,d005,2000-04-10,9999-01-01
13160,d006,1999-05-20,2000-04-10
13161,d005,1990-01-02,9999-01-01
13162,d007,1989-05-19,9999-01-01
13163,d006,1987-03-31,9999-01-01
13164,d004,1992-05-28,9999-01-01
13165,d006,1988-03-16,9999-01-01
13166,d005,1991-12-22,9999-01-01
13167,d005,1991-02-10,1991-07-18
13168,d004,1987-09-11,9999-01-01
13169,d007,1988-09-10,9999-01-01
13170,d002,1993-01-09,1998-09-21
13170,d003,1998-09-21,9999-01-01
13171,d006,1987-08-31,9999-01-01
13172,d007,1993-09-02,9999-01-01
13173,d007,1987-09-24,9999-01-01
13174,d004,1995-04-20,1998-12-02
13175,d004,1991-01-20,9999-01-01
13176,d007,1990-09-07,9999-01-01
13177,d005,1988-07-31,1998-06-01
13178,d007,1999-08-23,9999-01-01
13179,d007,1999-02-19,9999-01-01
13180,d008,1992-05-04,9999-01-01
13181,d004,1988-06-04,1990-03-09
13181,d009,1990-03-09,1993-08-18
13182,d004,1999-03-03,9999-01-01
13183,d003,1985-11-23,9999-01-01
13184,d005,1991-01-08,9999-01-01
13185,d002,1989-02-21,9999-01-01
13186,d007,1986-04-29,9999-01-01
13187,d007,1992-07-26,9999-01-01
13188,d004,1988-07-17,2000-11-21
13189,d008,1999-10-16,9999-01-01
13190,d003,1986-07-17,9999-01-01
13191,d004,1988-03-11,9999-01-01
13192,d004,2001-01-19,9999-01-01
13192,d005,1993-02-01,2001-01-19
13193,d004,1988-09-14,9999-01-01
13194,d005,1998-07-30,9999-01-01
13195,d004,1986-03-02,9999-01-01
13196,d001,1994-12-11,9999-01-01
13197,d002,1993-09-14,1995-07-31
13198,d008,1986-12-21,9999-01-01
13199,d004,1992-03-03,1995-10-19
13200,d004,1991-08-07,9999-01-01
13201,d001,2000-01-20,9999-01-01
13201,d007,1999-06-25,2000-01-20
13202,d008,1986-03-29,9999-01-01
13203,d009,1990-01-12,9999-01-01
13204,d004,1996-12-16,9999-01-01
13205,d007,1991-12-14,2002-03-23
13206,d002,1999-09-06,9999-01-01
13207,d004,1991-01-27,9999-01-01
13208,d004,1985-03-25,9999-01-01
13209,d005,1995-04-30,9999-01-01
13210,d001,1997-08-10,9999-01-01
13210,d007,1997-07-27,1997-08-10
13211,d004,1989-03-04,9999-01-01
13212,d007,1992-02-05,9999-01-01
13213,d007,1988-08-30,9999-01-01
13214,d004,1990-08-01,1999-06-24
13215,d005,1987-12-13,1995-08-10
13216,d009,1999-05-23,9999-01-01
13217,d008,1994-12-16,9999-01-01
13218,d004,1999-03-30,9999-01-01
13218,d005,1999-01-30,1999-03-30
13219,d004,1988-06-22,9999-01-01
13220,d005,1999-05-09,2001-01-10
13221,d008,1987-02-27,1998-10-21
13222,d008,1997-09-17,2001-02-22
13223,d007,1995-06-13,9999-01-01
13224,d005,1995-12-09,1995-12-17
13225,d001,1992-01-11,9999-01-01
13226,d004,1987-05-17,2001-06-24
13226,d009,2001-06-24,9999-01-01
13227,d007,1997-02-03,9999-01-01
13228,d001,1993-05-22,9999-01-01
13229,d005,1999-07-17,1999-11-18
13230,d005,1993-03-24,9999-01-01
13231,d005,1993-10-23,9999-01-01
13232,d005,1986-06-02,9999-01-01
13233,d005,1987-03-31,9999-01-01
13234,d009,1997-12-18,9999-01-01
13235,d004,1998-04-23,2000-07-29
13235,d009,2000-07-29,9999-01-01
13236,d007,1991-12-07,9999-01-01
13237,d002,1996-02-05,2001-05-05
13238,d007,1993-10-10,9999-01-01
13239,d005,2000-01-17,9999-01-01
13240,d005,1994-03-10,9999-01-01
13241,d007,1991-06-20,9999-01-01
13242,d004,1994-12-06,9999-01-01
13243,d007,1999-09-18,1999-11-11
13244,d004,1996-09-02,9999-01-01
13244,d008,1988-08-17,1996-09-02
13245,d005,1990-03-25,9999-01-01
13246,d007,1999-12-31,9999-01-01
13247,d004,2000-01-21,9999-01-01
13248,d007,1994-06-21,1998-07-22
13249,d007,1992-06-04,1997-09-24
13250,d004,1988-10-28,9999-01-01
13251,d006,1992-05-24,9999-01-01
13252,d008,1997-04-04,9999-01-01
13253,d008,1998-07-31,9999-01-01
13254,d004,1998-01-20,9999-01-01
13254,d005,1994-06-22,1998-01-20
13255,d005,1994-03-13,9999-01-01
13256,d002,1995-03-14,9999-01-01
13257,d002,1986-07-12,9999-01-01
13258,d006,1999-03-08,1999-06-26
13259,d007,1996-05-27,9999-01-01
13260,d005,1997-02-08,9999-01-01
13261,d007,1994-07-28,2000-10-12
13262,d005,1991-04-10,9999-01-01
13263,d002,1990-06-17,2001-02-12
13263,d003,2001-02-12,9999-01-01
13264,d007,1990-03-21,9999-01-01
13265,d006,1985-11-26,9999-01-01
13266,d005,1991-08-17,1999-06-25
13267,d005,1998-09-12,9999-01-01
13268,d007,1992-11-04,9999-01-01
13269,d004,1992-06-06,1999-11-13
13270,d005,1999-01-16,9999-01-01
13271,d008,1993-05-08,1995-03-15
13272,d009,1985-03-10,9999-01-01
13273,d004,1989-08-16,1990-06-15
13273,d006,1990-06-15,9999-01-01
13274,d004,1998-04-24,9999-01-01
13275,d003,1998-05-10,9999-01-01
13276,d002,1986-03-09,9999-01-01
13277,d008,1997-07-08,2000-04-02
13278,d005,1988-03-26,9999-01-01
13279,d003,1995-02-18,9999-01-01
13280,d009,1985-03-30,9999-01-01
13281,d005,1986-10-07,9999-01-01
13282,d002,1989-04-16,9999-01-01
13283,d005,1987-09-22,2000-12-19
13283,d008,2000-12-19,9999-01-01
13284,d005,1990-04-17,9999-01-01
13285,d005,1997-06-25,2000-11-02
13286,d002,1986-11-09,9999-01-01
13287,d009,1994-12-12,9999-01-01
13288,d003,1987-04-14,9999-01-01
13289,d001,1987-09-24,9999-01-01
13290,d003,1995-12-24,9999-01-01
13291,d005,1986-10-30,9999-01-01
13292,d007,1996-08-03,9999-01-01
13293,d007,1992-07-24,1992-12-14
13293,d009,1992-12-14,1993-03-16
13294,d009,1997-12-20,9999-01-01
13295,d004,2000-01-19,9999-01-01
13296,d004,1993-06-08,9999-01-01
13297,d008,1994-01-19,9999-01-01
13298,d009,1986-11-06,9999-01-01
13299,d001,1997-03-08,1998-09-13
13300,d001,1987-06-17,9999-01-01
13301,d005,1992-02-04,2001-01-01
13301,d008,2001-01-01,9999-01-01
13302,d005,1990-09-26,9999-01-01
13303,d007,1997-03-01,9999-01-01
13304,d001,1991-01-23,9999-01-01
13305,d007,1985-07-17,1995-01-19
13306,d005,1989-01-02,9999-01-01
13307,d004,1999-11-12,9999-01-01
13308,d007,1987-01-19,9999-01-01
13309,d004,1997-12-25,9999-01-01
13310,d005,1995-09-08,9999-01-01
13311,d005,1990-08-26,9999-01-01
13312,d005,1998-05-01,1999-11-16
13312,d008,1999-11-16,9999-01-01
13313,d004,1992-06-28,1999-11-13
13314,d003,1993-04-14,9999-01-01
13315,d005,1991-06-02,9999-01-01
13316,d004,1996-02-15,9999-01-01
13317,d005,1999-10-02,9999-01-01
13318,d004,1993-08-29,9999-01-01
13319,d005,1998-01-13,9999-01-01
13320,d005,1993-04-10,9999-01-01
13321,d005,1994-05-14,1994-08-05
13322,d006,1994-01-10,9999-01-01
13323,d005,1995-01-13,2001-04-02
13323,d008,2001-04-02,9999-01-01
13324,d005,1990-09-04,9999-01-01
13325,d005,1994-05-30,9999-01-01
13326,d003,1996-06-22,9999-01-01
13327,d006,1987-01-31,9999-01-01
13328,d009,1997-10-27,9999-01-01
13329,d007,1990-02-18,2002-05-30
13330,d004,1993-08-19,9999-01-01
13331,d005,1988-01-18,9999-01-01
13332,d004,1987-09-24,9999-01-01
13333,d004,1998-08-30,9999-01-01
13333,d005,1988-03-23,1998-08-30
13334,d002,1986-04-10,2001-04-30
13335,d007,1997-06-10,9999-01-01
13336,d004,1992-03-16,1995-07-12
13337,d004,1989-03-05,9999-01-01
13338,d004,1985-08-16,9999-01-01
13339,d008,1990-08-24,9999-01-01
13340,d005,1990-08-15,9999-01-01
13341,d001,1986-03-11,9999-01-01
13342,d005,1999-03-12,9999-01-01
13343,d002,1995-05-06,9999-01-01
13343,d003,1988-07-29,1995-05-06
13344,d005,1998-10-17,2000-10-06
13345,d007,1990-06-13,9999-01-01
13346,d005,1993-09-29,9999-01-01
13347,d005,1994-05-25,9999-01-01
13348,d001,1989-08-06,9999-01-01
13349,d007,1993-10-02,9999-01-01
13350,d005,1997-09-24,2001-12-20
13351,d004,1994-06-22,9999-01-01
13352,d004,1988-03-08,9999-01-01
13353,d005,1991-05-03,9999-01-01
13354,d005,1993-05-20,1998-03-31
13354,d008,1998-03-31,9999-01-01
13355,d004,1997-12-19,9999-01-01
13356,d004,1987-07-17,9999-01-01
13357,d004,1999-01-24,9999-01-01
13358,d005,1989-12-12,9999-01-01
13359,d005,1999-05-29,2001-01-01
13360,d005,1999-02-23,9999-01-01
13361,d003,1996-05-03,9999-01-01
13362,d005,1995-04-21,9999-01-01
13363,d008,1986-02-19,1991-02-06
13364,d001,1994-03-19,9999-01-01
13365,d004,2000-11-06,9999-01-01
13365,d006,1997-11-04,2000-11-06
13366,d002,1987-06-04,1999-09-02
13367,d007,1987-08-30,9999-01-01
13368,d003,1997-09-30,9999-01-01
13369,d004,1999-07-20,9999-01-01
13370,d009,1990-06-23,9999-01-01
13371,d004,1991-12-13,9999-01-01
13372,d007,1996-04-14,9999-01-01
13373,d002,1991-08-24,1993-04-05
13373,d003,1993-04-05,9999-01-01
13374,d005,1997-08-13,9999-01-01
13375,d005,1994-01-13,1997-04-14
13376,d004,1994-09-22,9999-01-01
13377,d005,1993-08-04,9999-01-01
13378,d005,1998-07-17,9999-01-01
13379,d009,1995-09-08,9999-01-01
13380,d003,1989-01-08,9999-01-01
13381,d005,1999-01-26,9999-01-01
13382,d005,1994-12-25,9999-01-01
13383,d002,1985-07-30,1996-07-26
13383,d003,1996-07-26,9999-01-01
13384,d007,1998-12-19,2001-02-07
13385,d003,1986-06-10,9999-01-01
13386,d005,1986-02-23,9999-01-01
13387,d007,1987-12-05,2000-09-18
13388,d004,1994-06-05,9999-01-01
13389,d008,1988-03-23,9999-01-01
13390,d004,1999-01-10,9999-01-01
13391,d008,1993-10-16,9999-01-01
13392,d007,1988-08-26,9999-01-01
13393,d004,1996-04-10,1996-08-29
13393,d006,1996-08-29,1998-09-15
13394,d001,1995-03-06,9999-01-01
13395,d005,1987-11-17,1991-09-25
13396,d009,1994-03-29,9999-01-01
13397,d003,1987-06-25,9999-01-01
13398,d008,1986-03-10,9999-01-01
13399,d004,1990-04-23,9999-01-01
13400,d005,1995-05-31,9999-01-01
13401,d005,1998-05-10,9999-01-01
13402,d005,1999-09-12,2002-02-26
13402,d008,2002-02-26,9999-01-01
13403,d007,1991-10-31,9999-01-01
13404,d007,1995-01-05,1996-05-26
13405,d007,1990-05-10,9999-01-01
13406,d005,1996-03-04,9999-01-01
13407,d004,1992-10-03,9999-01-01
13408,d004,1995-07-25,9999-01-01
13409,d004,1996-07-14,1999-05-20
13410,d007,1989-01-19,9999-01-01
13411,d001,1995-04-28,9999-01-01
13412,d001,1999-01-18,9999-01-01
13412,d003,1996-03-21,1999-01-18
13413,d007,1994-01-08,9999-01-01
13414,d007,1987-03-03,1993-01-01
13415,d006,1991-04-25,9999-01-01
13416,d004,1996-04-11,9999-01-01
13417,d007,1990-11-05,9999-01-01
13418,d006,1998-06-12,9999-01-01
13419,d007,1996-05-25,9999-01-01
13420,d004,1996-02-16,9999-01-01
13421,d005,1989-10-13,1993-08-04
13422,d004,1988-01-17,1991-11-21
13422,d006,1991-11-21,9999-01-01
13423,d007,1995-03-18,9999-01-01
13424,d005,1988-03-30,1994-07-26
13425,d005,1991-05-16,9999-01-01
13426,d009,1992-01-04,1995-01-19
13427,d007,1996-01-26,9999-01-01
13428,d007,1993-10-29,9999-01-01
13429,d002,1997-07-22,9999-01-01
13430,d003,1989-06-18,1990-04-17
13431,d007,1992-02-14,9999-01-01
13432,d007,1995-03-01,9999-01-01
13433,d002,1996-06-06,1996-12-22
13433,d003,1992-04-19,1996-06-06
13434,d008,1987-02-10,9999-01-01
13435,d004,1985-11-10,9999-01-01
13436,d007,1994-09-20,1995-12-08
13437,d006,1985-02-24,1995-02-07
13438,d004,1994-07-16,9999-01-01
13439,d004,1992-03-25,9999-01-01
13440,d004,1989-03-03,9999-01-01
13441,d004,1988-10-25,1989-11-07
13441,d009,1989-11-07,9999-01-01
13442,d003,1987-06-16,9999-01-01
13443,d006,1990-12-26,9999-01-01
13444,d005,1985-05-01,9999-01-01
13445,d004,1996-11-29,9999-01-01
13446,d005,1993-06-03,1995-04-18
13447,d007,1987-06-07,9999-01-01
13448,d001,1999-12-28,9999-01-01
13449,d007,1988-04-24,9999-01-01
13450,d004,1986-03-15,1999-05-06
13450,d009,1999-05-06,9999-01-01
13451,d003,1986-08-23,9999-01-01
13452,d004,1997-03-17,2000-02-29
13453,d005,1995-01-09,9999-01-01
13454,d004,1989-12-24,9999-01-01
13455,d004,1989-11-26,9999-01-01
13456,d005,1999-06-13,9999-01-01
13457,d006,1986-01-18,9999-01-01
13458,d004,1989-03-02,2002-02-02
13458,d009,2002-02-02,9999-01-01
13459,d008,1988-05-20,9999-01-01
13460,d004,1993-05-09,9999-01-01
13461,d003,1985-07-06,1996-11-07
13462,d003,1987-06-11,9999-01-01
13463,d004,1988-01-26,9999-01-01
13464,d005,1986-08-07,9999-01-01
13465,d004,1999-03-12,9999-01-01
13466,d007,1996-11-06,9999-01-01
13467,d005,1991-07-26,9999-01-01
13468,d009,1989-05-16,9999-01-01
13469,d005,1999-09-29,1999-12-03
13469,d008,1999-12-03,9999-01-01
13470,d001,1993-09-09,2002-02-23
13471,d002,1991-08-26,9999-01-01
13472,d004,1997-08-28,9999-01-01
13473,d005,1986-12-16,9999-01-01
13474,d005,1992-10-17,9999-01-01
13475,d007,1993-05-27,9999-01-01
13476,d005,1985-05-01,9999-01-01
13477,d007,1986-01-14,9999-01-01
13478,d008,1990-07-16,2000-06-13
13479,d007,1996-04-25,1996-09-17
13480,d004,1993-06-18,1995-03-16
13480,d006,1995-03-16,9999-01-01
13481,d005,1998-03-06,9999-01-01
13482,d006,1989-08-11,1992-07-05
13483,d004,1990-01-09,9999-01-01
13484,d003,1993-01-01,9999-01-01
13485,d005,1999-07-22,9999-01-01
13486,d004,1995-03-12,9999-01-01
13487,d001,1987-03-08,9999-01-01
13488,d004,1986-02-09,9999-01-01
13489,d007,1991-08-15,1999-03-09
13489,d009,1999-03-09,9999-01-01
13490,d001,1992-07-31,1994-04-12
13491,d007,1994-08-20,9999-01-01
13492,d004,1996-12-25,9999-01-01
13493,d005,1987-09-07,9999-01-01
13494,d004,1985-10-07,9999-01-01
13495,d001,1999-02-09,9999-01-01
13496,d007,1990-01-31,2000-06-28
13497,d005,1992-10-26,9999-01-01
13498,d007,1999-09-26,9999-01-01
13499,d004,1991-09-01,9999-01-01
13500,d004,1994-04-21,9999-01-01
13500,d005,1991-11-07,1994-04-21
13501,d007,1986-07-26,9999-01-01
13502,d005,1991-06-26,1996-01-16
13503,d007,1985-07-30,1991-11-11
13504,d005,1986-12-21,9999-01-01
13505,d009,1995-03-26,9999-01-01
13506,d008,1995-10-20,9999-01-01
13507,d005,1985-06-28,1997-12-04
13508,d003,1986-05-09,1991-04-01
13509,d004,1988-06-08,9999-01-01
13510,d002,1991-12-25,1992-04-28
13510,d003,1992-04-28,9999-01-01
13511,d008,1986-08-12,9999-01-01
13512,d002,1991-07-15,9999-01-01
13513,d007,1992-01-24,1999-04-19
13514,d005,1991-05-26,9999-01-01
13515,d007,1991-02-03,9999-01-01
13516,d008,1989-05-01,9999-01-01
13517,d005,1988-01-02,9999-01-01
13518,d003,1993-11-17,9999-01-01
13519,d007,1994-12-21,1998-09-07
13519,d009,1998-09-07,9999-01-01
13520,d004,1995-11-03,9999-01-01
13521,d006,1988-12-16,1991-02-18
13522,d001,1997-06-01,9999-01-01
13523,d009,1997-10-24,9999-01-01
13524,d007,1995-10-28,9999-01-01
13525,d003,1999-12-10,9999-01-01
13526,d004,1996-06-06,9999-01-01
13527,d004,1988-08-28,9999-01-01
13528,d001,2002-02-03,9999-01-01
13528,d007,1991-08-21,2002-02-03
13529,d007,1986-07-06,9999-01-01
13530,d005,1993-05-26,1993-08-27
13531,d004,1986-01-04,9999-01-01
13532,d004,1995-07-15,9999-01-01
13533,d003,1993-04-21,9999-01-01
13534,d005,1996-12-31,9999-01-01
13535,d004,1986-05-19,9999-01-01
13536,d008,1990-03-11,1992-10-29
13537,d005,1985-03-20,9999-01-01
13538,d005,2002-05-05,9999-01-01
13538,d006,1997-06-08,2002-05-05
13539,d005,1990-04-02,9999-01-01
13540,d007,1999-09-16,9999-01-01
13541,d005,1992-05-27,9999-01-01
13542,d007,1995-09-09,9999-01-01
13543,d007,1986-07-28,1986-12-20
13544,d007,1992-04-24,9999-01-01
13545,d003,1994-05-09,9999-01-01
13546,d004,1988-10-26,9999-01-01
13547,d004,1996-08-11,1997-02-03
13547,d008,1996-06-03,1996-08-11
13548,d005,1995-12-27,9999-01-01
13549,d005,1997-06-18,9999-01-01
13550,d005,1992-04-15,1998-02-25
13551,d007,1999-02-13,9999-01-01
13552,d008,1985-03-23,9999-01-01
13553,d007,1999-11-27,2000-02-07
13554,d001,1993-07-04,9999-01-01
13555,d007,1988-11-07,9999-01-01
13556,d005,1999-11-05,9999-01-01
13557,d004,2000-11-06,9999-01-01
13557,d005,1997-01-24,2000-11-06
13558,d008,1987-06-10,9999-01-01
13559,d007,1992-11-03,9999-01-01
13560,d005,1986-07-28,1998-03-12
13561,d004,1985-07-05,9999-01-01
13562,d008,1986-02-24,9999-01-01
13563,d004,1987-04-17,9999-01-01
13564,d007,1999-09-11,2002-01-20
13565,d005,1988-03-31,9999-01-01
13566,d004,1988-08-26,9999-01-01
13567,d002,1990-05-24,1997-07-08
13567,d003,1997-07-08,2002-04-01
13568,d005,1994-08-20,9999-01-01
13569,d001,1999-01-22,9999-01-01
13570,d002,1986-03-15,9999-01-01
13571,d004,1992-06-03,9999-01-01
13572,d001,1986-09-15,9999-01-01
13573,d005,1998-09-26,9999-01-01
13574,d004,1995-08-01,1997-06-21
13575,d004,1991-03-09,9999-01-01
13576,d005,1997-02-18,9999-01-01
13576,d008,1992-08-29,1997-02-18
13577,d007,1991-06-05,1998-12-15
13578,d004,1994-05-22,1997-04-13
13579,d006,1987-03-12,9999-01-01
13580,d005,1993-12-22,1998-04-29
13581,d005,1989-09-05,9999-01-01
13582,d005,1987-09-09,9999-01-01
13583,d009,1991-06-11,9999-01-01
13584,d001,1993-10-07,9999-01-01
13585,d006,1997-06-08,9999-01-01
13586,d005,1989-07-18,1995-03-20
13586,d008,1995-03-20,9999-01-01
13587,d004,1995-02-18,9999-01-01
13588,d007,1998-07-25,9999-01-01
13589,d008,1985-11-16,1987-04-11
13590,d004,1986-03-14,9999-01-01
13591,d005,1999-06-24,9999-01-01
13592,d005,1996-11-14,9999-01-01
13593,d004,1988-01-27,2001-12-11
13594,d001,1999-08-06,9999-01-01
13595,d002,1991-03-07,9999-01-01
13595,d003,1990-07-01,1991-03-07
13596,d004,1993-07-24,9999-01-01
13597,d006,1989-05-05,9999-01-01
13598,d004,1995-12-30,9999-01-01
13599,d007,1992-11-12,9999-01-01
13600,d008,1997-09-02,9999-01-01
13601,d004,1986-07-15,9999-01-01
13602,d007,1994-03-20,2001-11-28
13603,d005,1998-11-10,9999-01-01
13604,d007,1986-03-03,9999-01-01
13605,d007,1985-09-29,9999-01-01
13606,d007,1996-11-04,1999-07-22
13606,d009,1999-07-22,9999-01-01
13607,d007,1993-01-15,9999-01-01
13608,d007,1992-06-25,1994-01-25
13609,d004,1994-08-14,9999-01-01
13610,d009,1995-05-28,9999-01-01
13611,d001,1995-07-07,9999-01-01
13612,d004,1996-06-23,9999-01-01
13613,d004,1996-12-30,2000-08-05
13614,d008,1992-01-30,9999-01-01
13615,d001,1986-07-14,9999-01-01
13616,d005,1991-08-03,1995-07-09
13616,d008,1995-07-09,9999-01-01
13617,d006,1999-07-24,9999-01-01
13618,d007,1996-01-07,9999-01-01
13619,d004,1992-10-12,9999-01-01
13620,d004,1985-06-12,9999-01-01
13621,d005,1987-02-09,9999-01-01
13622,d007,1991-09-07,1998-11-13
13623,d006,1995-10-29,9999-01-01
13624,d003,1987-05-12,9999-01-01
13625,d001,1990-04-20,9999-01-01
13626,d004,2000-01-09,2001-05-09
13626,d006,2001-05-09,9999-01-01
13627,d005,1991-02-20,9999-01-01
13628,d005,1989-03-16,9999-01-01
13629,d005,1987-01-03,9999-01-01
13630,d004,1990-05-06,1996-04-03
13631,d004,1991-08-16,9999-01-01
13632,d007,1991-04-16,9999-01-01
13633,d005,1990-10-24,1991-06-10
13634,d004,1992-01-03,1997-11-08
13634,d009,1997-11-08,9999-01-01
13635,d005,1997-09-14,9999-01-01
13636,d005,1990-09-29,9999-01-01
13637,d005,1997-12-31,9999-01-01
13638,d005,1989-12-18,1990-09-03
13639,d005,1986-12-09,9999-01-01
13640,d006,1987-09-20,9999-01-01
13641,d004,1986-12-16,9999-01-01
13642,d001,1992-03-04,9999-01-01
13643,d005,1989-07-08,9999-01-01
13644,d005,1993-08-08,2001-04-25
13644,d008,2001-04-25,9999-01-01
13645,d004,1987-01-21,1996-12-23
13646,d005,1999-09-03,9999-01-01
13647,d008,1997-04-20,9999-01-01
13648,d004,1985-11-16,9999-01-01
13649,d004,1987-01-01,9999-01-01
13650,d007,1996-11-19,9999-01-01
13651,d005,1987-09-02,1990-03-31
13652,d005,1986-01-30,9999-01-01
13653,d003,1991-01-17,9999-01-01
13654,d004,1996-12-31,9999-01-01
13654,d005,1995-05-02,1996-12-31
13655,d003,1990-01-23,9999-01-01
13656,d007,1995-07-17,9999-01-01
13657,d004,1994-10-05,9999-01-01
13658,d005,1998-07-06,9999-01-01
13659,d002,1992-03-07,2000-07-10
13660,d007,1998-02-18,2002-04-28
13661,d007,1990-09-14,9999-01-01
13662,d008,1989-02-06,9999-01-01
13663,d005,1994-06-30,1997-02-12
13663,d008,1997-02-12,9999-01-01
13664,d005,1995-06-06,9999-01-01
13665,d004,1993-01-04,9999-01-01
13666,d005,1997-01-27,9999-01-01
13667,d004,1996-04-03,2001-10-15
13668,d001,1991-12-11,1992-09-09
13669,d004,1998-11-05,9999-01-01
13670,d005,1988-06-30,9999-01-01
13671,d006,1993-03-30,9999-01-01
13672,d007,1997-02-12,1998-10-31
13673,d004,1995-05-29,9999-01-01
13673,d008,1993-08-17,1995-05-29
13674,d004,1995-01-05,9999-01-01
13675,d004,1987-03-12,9999-01-01
13676,d007,1990-11-07,9999-01-01
13677,d005,1986-03-21,9999-01-01
13678,d003,1988-02-02,2000-12-11
13679,d009,1999-04-19,9999-01-01
13680,d007,1996-02-05,9999-01-01
13681,d004,1998-05-29,9999-01-01
13681,d005,1989-08-03,1998-05-29
13682,d001,2000-01-09,9999-01-01
13683,d005,1995-03-09,9999-01-01
13684,d007,1985-02-06,2002-03-30
13685,d005,1991-11-29,9999-01-01
13686,d002,1990-09-16,9999-01-01
13687,d009,1991-07-14,9999-01-01
13688,d004,1995-04-12,9999-01-01
13689,d005,1994-08-23,9999-01-01
13689,d006,1992-10-23,1994-08-23
13690,d007,1989-10-23,9999-01-01
13691,d007,1999-10-11,9999-01-01
13692,d007,1996-08-27,9999-01-01
13693,d005,1989-04-01,1994-08-09
13694,d005,1998-11-07,9999-01-01
13695,d001,1985-07-02,9999-01-01
13696,d005,1990-01-23,9999-01-01
13697,d005,1985-06-20,9999-01-01
13698,d006,1991-03-19,1997-04-20
13699,d004,1999-11-24,9999-01-01
13699,d005,1987-08-18,1999-11-24
13700,d007,1998-12-11,9999-01-01
13701,d004,1996-08-27,9999-01-01
13702,d004,1995-08-10,9999-01-01
13703,d004,1995-01-07,1997-02-21
13704,d004,1987-10-01,9999-01-01
13705,d009,1991-03-12,9999-01-01
13706,d004,1995-01-03,1998-12-20
13707,d004,1993-12-17,9999-01-01
13708,d005,1991-05-10,2001-10-14
13708,d008,2001-10-14,9999-01-01
13709,d007,1996-10-11,9999-01-01
13710,d005,1998-04-30,9999-01-01
13711,d009,1988-09-27,9999-01-01
13712,d003,1987-12-06,9999-01-01
13713,d003,1996-06-04,9999-01-01
13714,d004,1986-05-26,1993-11-24
13715,d007,1993-10-09,9999-01-01
13716,d005,1995-12-20,9999-01-01
13716,d006,1991-11-09,1995-12-20
13717,d001,1995-12-21,9999-01-01
13718,d007,1986-11-22,9999-01-01
13719,d004,1994-09-23,9999-01-01
13720,d007,1989-03-01,9999-01-01
13721,d007,1995-09-21,9999-01-01
13722,d004,1999-12-15,2001-03-15
13723,d007,1992-09-13,9999-01-01
13724,d005,1999-12-23,9999-01-01
13725,d005,1989-11-25,9999-01-01
13726,d001,1992-03-13,1997-08-13
13726,d009,1997-08-13,9999-01-01
13727,d003,1999-10-07,9999-01-01
13728,d004,1986-01-03,9999-01-01
13729,d005,1988-10-12,9999-01-01
13730,d001,1991-07-20,9999-01-01
13731,d005,1996-02-23,2001-11-15
13732,d006,1986-02-12,9999-01-01
13733,d001,1994-10-29,1997-10-26
13734,d008,1989-05-02,9999-01-01
13735,d004,1998-11-17,2001-03-12
13735,d009,2001-03-12,9999-01-01
13736,d007,1999-04-03,9999-01-01
13737,d005,1985-08-01,9999-01-01
13738,d005,1998-06-30,9999-01-01
13739,d005,1989-01-04,1995-02-23
13740,d005,1996-11-11,9999-01-01
13741,d004,1992-11-24,9999-01-01
13742,d004,1993-07-02,9999-01-01
13743,d009,1999-05-01,9999-01-01
13744,d005,1990-12-24,9999-01-01
13745,d004,1997-04-07,9999-01-01
13745,d006,1989-10-23,1997-04-07
13746,d005,1998-01-03,9999-01-01
13747,d007,1987-03-06,1987-12-10
13748,d008,1989-10-26,9999-01-01
13749,d006,1988-06-12,9999-01-01
13750,d004,1995-08-22,9999-01-01
13751,d001,1997-01-13,9999-01-01
13752,d007,1999-08-27,9999-01-01
13753,d009,1994-07-04,1996-07-19
13754,d002,1987-08-27,1988-07-07
