emp_no,salary,from_date,to_date
31311,46996,1998-05-23,1999-05-23
31312,47195,1990-01-17,1991-01-17
31313,48508,1992-01-06,1993-01-05
31314,97760,1985-05-08,1986-05-08
31315,40000,1985-08-12,1986-08-12
31316,41131,1992-09-25,1993-09-25
31317,40000,1997-06-02,1998-06-02
31318,78626,1986-11-27,1987-11-27
31319,58527,1997-02-04,1998-02-04
31320,40000,1999-11-12,2000-03-03
31321,46146,1989-03-29,1990-03-29
31322,58891,1998-03-30,1999-03-30
31323,40000,1992-08-17,1993-08-17
31324,40000,1988-10-15,1989-10-15
31325,71640,1985-02-26,1986-02-26
31326,40088,1986-03-22,1987-03-22
31327,40000,1997-06-05,1998-06-05
31328,40818,1990-03-26,1991-03-26
31329,66774,1994-01-04,1995-01-04
31330,62475,1997-07-01,1998-07-01
31331,68416,1988-12-09,1989-12-09
31332,40000,1995-12-02,1996-12-01
31333,40000,1989-12-09,1990-12-09
31334,60339,1987-12-30,1988-12-29
31335,60674,1988-06-09,1989-06-09
31336,59209,1999-05-12,2000-05-11
31337,58548,1998-03-22,1999-03-22
31338,40000,1985-07-13,1986-07-13
31339,79319,1994-08-15,1995-08-15
31340,47817,1986-05-06,1987-05-06
31341,53219,1991-03-23,1992-03-22
31342,52377,1989-06-26,1990-06-26
31343,53011,1988-09-22,1989-09-22
31344,80458,1993-04-29,1994-04-29
31345,67126,1987-01-29,1988-01-29
31346,40049,1994-02-26,1995-02-26
31347,58661,1990-10-21,1991-10-21
31348,63192,1994-12-20,1995-12-20
31349,47322,1988-05-18,1989-05-18
31350,67931,1999-06-12,2000-06-11
31351,70185,1999-06-14,2000-06-13
31352,42846,1986-07-12,1987-07-12
31353,52657,1997-08-28,1998-08-28
31354,44739,1988-04-23,1989-04-23
31355,84076,1992-09-13,1993-09-13
31356,80635,1987-09-11,1988-09-10
31357,40000,1991-05-25,1992-05-24
31358,40000,1990-01-24,1991-01-24
31359,48385,1985-10-09,1986-10-09
31360,45582,1986-10-16,1987-10-16
31361,40000,1999-02-25,2000-02-25
31362,40000,1987-04-15,1988-04-14
31363,95246,1987-01-22,1988-01-22
31364,67845,1987-10-22,1988-10-21
31365,42546,1999-09-12,2000-09-11
31366,58955,1986-07-25,1987-07-25
31367,40000,1987-02-18,1988-02-18
31368,41513,1988-01-05,1989-01-04
31369,40662,1996-02-05,1997-02-04
31370,44714,1989-09-28,1990-09-28
31371,40000,1986-05-20,1987-05-20
31372,40874,1995-03-22,1996-03-21
31373,48448,1997-05-19,1998-05-19
31374,72381,1987-08-27,1988-08-26
31375,67669,1995-09-27,1996-09-26
31376,52466,1996-11-03,1997-11-03
31377,40000,1994-11-02,1995-11-02
31378,40000,1997-07-23,1998-07-23
31379,64084,1991-02-06,1992-02-06
31380,49902,1986-12-26,1987-12-26
31381,45827,1996-11-14,1997-11-14
31382,74350,1998-09-10,1999-03-25
31383,40000,1996-02-06,1997-02-05
31384,40000,1993-10-23,1994-10-23
31385,67392,1987-02-19,1988-02-19
31386,61512,1987-04-02,1988-04-01
31387,51483,1999-06-20,2000-06-19
31388,86983,1991-04-07,1992-04-06
31389,44210,1986-11-21,1987-11-21
31390,40000,1998-04-03,1999-04-03
31391,40000,1992-06-17,1993-06-17
31392,51670,1987-12-08,1988-12-07
31393,40000,1988-07-30,1989-07-30
31394,60196,1996-06-25,1997-06-25
31395,50280,1998-11-13,1999-11-13
31396,40000,1990-10-12,1991-10-12
31397,56842,1989-03-07,1990-03-07
31398,68119,1992-06-03,1993-06-03
31399,43007,1989-07-23,1990-07-23
31400,43855,1997-08-23,1998-08-23
31401,69819,1993-03-31,1994-03-31
31402,40000,1986-12-19,1987-12-19
31403,50871,1995-11-13,1996-11-12
31404,40000,1985-05-26,1986-05-26
31405,40000,1997-05-24,1998-05-24
31406,72918,2000-01-04,2001-01-03
31407,55682,1985-12-27,1986-12-27
31408,98690,1989-08-18,1990-08-18
31409,69731,1994-10-11,1995-10-11
31410,72890,1988-09-25,1989-09-25
31411,58147,1996-02-06,1997-02-05
31412,49532,1992-04-21,1993-04-21
31413,40000,1995-02-01,1996-02-01
31414,65407,1995-08-12,1996-08-11
31415,40000,1998-02-11,1999-02-11
31416,40000,1990-12-09,1991-12-09
31417,67485,1987-10-19,1988-10-18
31418,79720,1999-08-06,2000-08-05
31419,46272,1998-11-28,1999-11-28
31420,58629,1991-01-06,1992-01-06
31421,40000,1998-09-20,1999-09-20
31422,54378,1991-01-25,1992-01-25
31423,40000,1986-04-22,1987-04-22
31424,72971,1993-05-12,1994-05-12
31425,70854,1987-05-06,1988-05-05
31426,40000,1987-03-30,1988-03-29
31427,67096,1985-04-24,1986-04-24
31428,69363,1989-02-22,1990-02-22
31429,45192,1985-02-22,1986-02-22
31430,73741,1989-10-17,1990-10-17
31431,40000,1993-12-22,1994-12-22
31432,40000,1993-01-04,1994-01-04
31433,53891,1987-10-03,1988-10-02
31434,81612,1985-04-24,1986-04-24
31435,47164,1986-08-24,1987-08-24
31436,49255,1998-08-25,1999-08-25
31437,40000,1986-12-02,1987-12-02
31438,40000,1987-02-04,1988-02-04
31439,79462,1988-08-21,1989-08-21
31440,50663,1986-08-13,1987-08-13
31441,69938,1996-03-01,1997-03-01
31442,57830,1993-06-12,1994-06-12
31443,52174,1995-01-21,1996-01-21
31444,80873,1986-01-08,1987-01-08
31445,52696,1997-06-24,1998-06-24
31446,40000,1998-05-17,1999-05-17
31447,45295,1993-01-07,1994-01-07
31448,80313,1989-11-18,1990-11-18
31449,48162,1994-07-24,1995-07-24
31450,54273,1995-01-17,1996-01-17
31451,75912,1990-08-23,1991-08-23
31452,41580,1998-08-06,1999-08-06
31453,40699,1991-12-23,1992-12-22
31454,65371,1995-11-07,1996-11-06
31455,40000,1987-11-25,1988-11-24
31456,40390,1997-01-06,1998-01-06
31457,46069,1988-01-14,1989-01-13
31458,67313,1990-04-22,1991-04-22
31459,82454,1988-11-23,1989-11-23
31460,40000,1997-12-29,1998-12-29
31461,70999,1998-05-01,1999-05-01
31462,64765,1998-03-20,1999-03-20
31463,40622,1987-03-27,1988-03-26
31464,40000,1999-03-25,2000-03-24
31465,40000,1985-09-17,1986-09-17
31466,40000,1990-10-14,1991-10-14
31467,48115,1985-10-17,1986-10-17
31468,40000,1985-04-29,1986-04-29
31469,53476,1991-10-22,1992-10-21
31470,41758,1991-05-10,1992-05-09
31471,40000,1999-10-02,2000-10-01
31472,40000,1988-10-18,1989-10-18
31473,60634,1989-06-25,1990-06-25
31474,60818,1985-06-30,1986-06-30
31475,58593,1996-08-24,1997-08-24
31476,51226,1986-09-09,1987-09-09
31477,40000,1990-02-22,1991-02-22
31478,40000,1992-01-09,1993-01-08
31479,43795,2000-01-11,2001-01-10
31480,40000,1999-01-09,2000-01-09
31481,40000,1994-06-29,1995-06-29
31482,47218,1997-05-01,1998-05-01
31483,60081,1998-08-08,1999-08-08
31484,85085,1996-02-17,1996-12-25
31485,40000,1995-01-27,1996-01-27
31486,40000,1985-02-21,1986-02-21
31487,40000,1990-10-17,1991-10-17
31488,40000,1994-03-10,1995-03-10
31489,40000,1994-01-21,1995-01-21
31490,40000,1992-04-30,1993-04-30
31491,65744,1995-05-08,1996-05-07
31492,81830,1992-01-10,1993-01-09
31493,65891,1999-09-22,2000-09-21
31494,59270,1994-01-31,1995-01-31
31495,62324,1986-11-30,1987-11-30
31496,54889,1997-04-16,1998-04-16
31497,40000,1985-06-05,1986-06-05
31498,58546,1993-01-05,1994-01-05
31499,99981,1991-06-23,1992-06-22
31500,65605,1996-08-06,1997-08-06
31501,40000,1985-04-20,1986-04-20
31502,51342,1992-02-12,1993-02-11
31503,40000,1995-05-09,1996-05-08
31504,58564,1992-03-15,1993-03-15
31505,40000,1991-07-24,1992-07-23
31506,48599,1985-11-24,1986-11-24
31507,59565,1997-07-01,1998-07-01
31508,64226,1987-01-08,1988-01-08
31509,40000,1998-12-15,1999-12-15
31510,40000,1996-11-11,1997-11-11
31511,40000,1994-01-16,1995-01-16
31512,62404,1995-07-15,1996-07-14
31513,40000,1997-11-20,1998-11-20
31514,62415,1996-11-09,1997-11-09
31515,57985,1995-07-06,1996-07-05
31516,43609,1995-04-29,1996-04-28
31517,55517,1988-10-24,1989-10-24
31518,40000,1988-06-27,1989-06-27
31519,40000,1991-06-06,1992-06-05
31520,71316,1992-04-28,1993-04-28
31521,95398,1991-09-01,1992-08-31
31522,50453,1991-12-03,1992-12-02
31523,40000,1994-01-04,1995-01-04
31524,65006,1988-01-25,1989-01-24
31525,59272,1990-07-23,1991-07-23
31526,40000,1985-11-30,1986-11-30
31527,40000,1997-02-28,1998-02-28
31528,48580,1988-04-30,1989-04-30
31529,40000,1995-05-29,1996-05-28
31530,40000,1999-10-02,2000-10-01
31531,52369,1989-04-11,1990-04-11
31532,40360,1990-06-07,1991-06-07
31533,68960,1988-12-21,1989-12-21
31534,81099,1989-04-20,1990-04-20
31535,63264,1993-03-22,1994-03-22
31536,40000,1985-08-04,1986-08-04
31537,40000,1989-07-10,1990-07-10
31538,40000,1985-10-26,1986-10-26
31539,40000,1999-06-12,2000-06-11
31540,40571,1993-04-14,1994-04-14
31541,51449,1996-06-08,1997-06-08
31542,44523,1995-08-19,1995-09-19
31543,56768,1998-05-18,1999-05-18
31544,44808,1991-07-09,1992-07-08
31545,82063,1998-02-22,1999-02-22
31546,81040,1987-01-19,1988-01-19
31547,40000,1996-02-02,1997-02-01
31548,40000,1995-05-02,1996-05-01
31549,70225,1994-03-19,1995-03-19
31550,59236,1998-01-18,1999-01-18
31551,53971,1992-10-23,1993-10-23
31552,56338,1995-08-08,1996-08-07
31553,74233,1985-10-03,1986-10-03
31554,51589,1999-06-23,2000-06-22
31555,40000,1996-12-20,1997-12-20
31556,40000,1996-05-15,1997-05-15
31557,45801,1986-01-20,1987-01-20
31558,81615,1988-05-16,1989-05-16
31559,61143,1998-05-02,1999-05-02
31560,59277,1986-08-17,1987-08-17
31561,72198,1996-01-29,1997-01-28
31562,40000,1985-02-20,1986-02-20
31563,64202,1987-04-16,1988-04-15
31564,65166,1986-04-26,1987-04-26
31565,87966,1997-06-02,1998-06-02
31566,48909,1985-11-22,1986-11-22
31567,49322,1998-06-12,1998-07-03
31568,67061,1996-11-24,1997-11-24
31569,40000,1993-06-02,1994-06-02
31570,40000,1993-04-05,1994-04-05
31571,45695,1985-07-25,1986-07-25
31572,55459,1993-06-27,1994-06-27
31573,41096,1992-05-24,1993-05-24
31574,40000,1999-05-19,2000-05-18
31575,40000,1986-04-03,1987-04-03
31576,92696,1998-11-17,1999-11-17
31577,71309,1995-05-05,1996-05-04
31578,62809,1989-06-30,1990-06-30
31579,47959,1989-01-02,1990-01-02
31580,74380,1989-05-11,1990-05-11
31581,49827,1999-01-25,2000-01-25
31582,49363,1997-12-08,1998-12-08
31583,40000,1996-12-09,1997-12-09
31584,67223,1993-04-07,1994-04-07
31585,63590,1994-05-22,1995-05-22
31586,69292,1995-09-19,1996-09-18
31587,40000,1986-12-24,1987-12-24
31588,40000,1990-09-04,1991-09-04
31589,40000,1987-12-14,1988-12-13
31590,53373,2000-01-26,2001-01-25
31591,40000,1985-05-02,1986-05-02
31592,63464,1986-05-21,1987-05-21
31593,48653,1995-04-07,1996-04-05
31594,40000,1991-09-05,1992-09-04
31595,99948,1994-12-08,1995-12-08
31596,40000,1998-10-02,1999-10-02
31597,40000,1996-09-16,1997-09-16
31598,40000,1989-02-23,1990-02-23
31599,40000,1997-09-22,1998-09-22
31600,40000,1993-06-10,1994-06-10
31601,49176,1987-08-28,1988-08-27
31602,40000,1993-07-01,1994-07-01
31603,71710,1989-12-07,1990-12-07
31604,54821,1989-04-16,1990-04-16
31605,64310,1993-04-20,1994-04-20
31606,40000,1997-02-22,1998-02-22
31607,99988,1996-01-15,1997-01-14
31608,40000,1997-12-26,1998-12-26
31609,50981,1993-08-06,1994-08-06
31610,47624,1992-10-21,1993-10-21
31611,53171,1992-08-03,1993-08-03
31612,40000,1990-01-02,1991-01-02
31613,40000,1993-04-05,1994-04-05
31614,49566,1997-04-20,1998-04-20
31615,49121,1985-12-26,1986-12-26
31616,43620,1996-09-10,1997-09-10
31617,40000,1987-02-04,1988-02-04
31618,45521,1999-01-03,2000-01-03
31619,46967,1989-01-28,1990-01-28
31620,47413,1986-12-24,1987-12-24
31621,52653,1990-09-27,1991-09-27
31622,68294,2000-01-26,2001-01-25
31623,60296,1994-09-29,1995-09-29
31624,52661,1992-03-27,1993-03-27
31625,44586,1997-05-27,1998-05-27
31626,53751,1995-12-29,1996-12-28
31627,53558,1990-07-25,1991-07-25
31628,86050,1989-06-26,1990-06-26
31629,73023,1986-07-28,1987-07-28
31630,40000,1985-07-27,1986-07-27
31631,58418,1987-06-06,1988-06-05
31632,43055,1995-11-11,1996-11-10
31633,40000,1991-02-21,1992-02-21
31634,40000,1988-04-04,1989-04-04
31635,45025,1991-03-01,1992-02-29
31636,61617,1986-09-02,1987-09-02
31637,50864,1995-06-05,1996-06-04
31638,61854,1999-05-07,2000-05-06
31639,89224,1995-04-02,1996-04-01
31640,58419,2000-01-17,2001-01-16
31641,47195,1987-03-01,1988-02-29
31642,48983,1985-03-31,1986-03-31
31643,51058,1994-04-15,1995-04-15
31644,40000,1998-05-23,1999-05-23
31645,40000,1992-11-02,1993-11-02
31646,40000,1992-03-03,1993-03-03
31647,40000,1997-03-14,1998-03-14
31648,42715,1990-03-24,1991-03-24
31649,40000,1991-11-25,1992-11-24
31650,75830,1986-06-05,1987-06-05
31651,65403,1996-01-03,1997-01-02
31652,44105,1991-02-04,1992-02-04
31653,66194,1991-09-03,1992-09-02
31654,90238,1993-03-07,1994-03-07
31655,58286,1985-09-07,1986-09-07
31656,54795,1993-06-29,1994-06-29
31657,40000,1991-07-12,1992-07-11
31658,62574,1988-05-01,1989-05-01
31659,66031,1997-10-10,1998-10-10
31660,40000,1988-06-21,1989-06-21
31661,81944,1991-04-28,1992-04-27
31662,43681,1994-08-13,1995-08-13
31663,56398,1990-05-18,1991-05-18
31664,40000,1985-11-03,1986-11-03
31665,99221,1986-03-17,1987-03-17
31666,40000,1993-08-27,1994-08-27
31667,44738,1989-08-28,1990-08-28
31668,74124,1990-05-06,1991-05-06
31669,40000,1996-09-14,1997-09-14
31670,58873,1994-12-09,1995-12-09
31671,40000,1988-04-07,1989-04-07
31672,47627,1993-03-30,1994-03-30
31673,40000,1995-04-12,1996-04-11
31674,47707,1991-02-07,1992-02-07
31675,40000,1998-11-16,1999-11-16
31676,93354,1992-01-04,1993-01-03
31677,40000,1992-10-31,1993-10-31
31678,76335,1991-01-19,1992-01-19
31679,58865,1991-08-16,1992-08-15
31680,71139,1990-09-24,1991-09-24
31681,51299,1996-02-08,1997-02-07
31682,40000,1998-07-20,1999-07-20
31683,61360,1987-05-06,1988-05-05
31684,40000,1994-12-10,1995-12-10
31685,42047,1989-07-14,1990-07-14
31686,62799,1998-12-23,1999-12-23
31687,71681,1994-06-05,1995-06-05
31688,40000,1987-03-08,1988-03-07
31689,43156,1987-12-23,1988-12-22
31690,64898,1995-10-18,1996-10-17
31691,40000,1985-07-05,1986-07-05
31692,54130,1993-08-17,1994-08-17
31693,47319,1999-08-03,2000-08-02
31694,50339,1991-03-04,1992-03-03
31695,49612,1986-06-03,1987-06-03
31696,77023,1997-07-11,1998-07-11
31697,58839,1986-04-08,1987-04-08
31698,78665,1996-11-19,1997-11-19
31699,60983,1998-08-21,1999-08-21
31700,112359,1986-12-12,1987-12-12
31701,45909,1997-05-17,1998-05-17
31702,59652,1987-04-24,1988-04-23
31703,85717,1992-10-31,1993-10-31
31704,45863,1997-08-18,1998-08-18
31705,80962,1995-10-07,1996-10-06
31706,69883,1990-10-19,1991-10-19
31707,40000,1990-05-29,1991-05-29
31708,60270,1991-04-27,1992-04-26
31709,40000,1998-10-25,1999-10-25
31710,40000,1999-04-04,2000-04-03
31711,61675,1996-06-25,1997-06-25
31712,70751,1990-12-13,1991-12-13
31713,49954,1985-11-03,1986-11-03
31714,41320,1993-01-14,1994-01-14
31715,57626,1997-05-24,1998-05-24
31716,40000,1991-08-03,1992-08-02
31717,40000,1987-02-14,1988-02-14
31718,62380,1999-08-02,2000-08-01
31719,70273,1992-10-03,1993-10-03
31720,40000,1989-10-15,1990-10-15
31721,40000,1998-11-21,1999-11-21
31722,50988,1989-05-11,1990-05-11
31723,40000,1996-11-10,1997-11-10
31724,40000,1994-04-21,1995-04-21
31725,40000,1997-09-21,1998-09-21
31726,69654,1996-10-04,1997-10-04
31727,53945,1996-09-20,1997-09-20
31728,70658,1987-10-05,1988-10-04
31729,63079,1987-03-26,1988-03-25
31730,40000,1991-08-24,1992-08-23
31731,58123,1993-11-30,1994-11-30
31732,40000,1991-12-05,1992-12-04
31733,40000,1989-05-15,1990-05-15
31734,40000,1988-12-11,1989-12-11
31735,44821,1990-04-25,1991-04-25
31736,44578,1988-10-04,1989-10-04
31737,40000,1997-05-17,1998-05-17
31738,40000,1994-10-12,1995-10-12
31739,49070,1987-12-08,1988-12-07
31740,40000,1995-02-12,1996-02-12
31741,40000,1987-03-24,1988-03-23
31742,48750,1992-01-05,1993-01-04
31743,62219,1996-05-21,1997-05-21
31744,40000,1996-07-20,1997-07-20
31745,40000,1989-05-01,1990-05-01
31746,58027,1986-12-07,1987-12-07
31747,40000,1991-11-10,1992-11-09
31748,40000,1994-01-17,1995-01-17
31749,40499,1997-07-07,1998-07-07
31750,103725,1996-03-12,1997-03-12
31751,40000,1990-02-03,1991-02-03
31752,40000,1992-10-12,1993-10-12
31753,41047,1992-05-29,1993-05-29
31754,40000,1989-08-03,1990-08-03
31755,40000,1996-09-12,1997-09-12
31756,55327,1998-07-07,1999-07-07
31757,75435,1992-01-06,1993-01-05
31758,40000,1994-07-05,1995-07-05
31759,45406,1991-10-23,1992-10-22
31760,53952,1995-01-01,1996-01-01
31761,73776,1997-08-28,1998-08-28
31762,68399,1987-04-30,1988-04-29
31763,64009,1987-05-31,1988-05-30
31764,78463,1995-04-01,1996-03-31
31765,40000,1994-06-01,1995-06-01
31766,71487,1989-10-29,1990-10-28
31767,53197,1999-08-25,2000-08-24
31768,49473,1990-01-27,1991-01-27
31769,40000,1995-11-22,1996-06-19
31770,66188,1986-02-16,1987-02-16
31771,80427,1999-12-16,2000-12-15
31772,40000,1994-08-18,1995-08-18
31773,72821,1989-06-05,1990-06-05
31774,75561,1996-04-12,1997-04-12
31775,56002,1993-04-01,1994-04-01
31776,48143,1991-12-22,1992-12-21
31777,40913,1988-12-13,1989-12-13
31778,43932,1992-09-16,1993-09-16
31779,40000,1988-03-13,1989-03-13
31780,57608,1997-10-24,1998-10-24
31781,40000,1994-01-30,1995-01-30
31782,43622,1994-05-13,1995-05-13
31783,40000,1989-05-08,1990-05-08
31784,54135,1996-11-12,1997-11-12
31785,52393,1985-09-02,1986-09-02
31786,46949,1996-03-01,1997-03-01
31787,63446,1992-12-17,1993-12-17
31788,45942,1988-12-02,1989-12-02
31789,40000,1989-08-14,1990-08-14
31790,51635,1997-11-13,1998-11-13
31791,70715,1998-05-23,1999-05-23
31792,85883,1987-01-20,1988-01-20
31793,40000,1997-09-03,1998-09-03
31794,40000,1991-12-13,1992-12-12
31795,53637,1999-06-05,2000-06-04
31796,58553,1985-10-09,1986-10-09
31797,80749,1985-12-13,1986-12-13
31798,44550,1989-07-31,1990-07-31
31799,69164,1990-02-14,1991-02-14
31800,57409,1989-01-19,1990-01-19
31801,51687,1993-12-21,1994-12-21
31802,41583,1986-12-07,1987-12-07
31803,62197,1997-08-19,1998-08-19
31804,78831,1991-05-22,1992-05-21
31805,60777,1999-07-17,1999-10-29
31806,69037,1996-05-13,1997-05-13
31807,56293,1994-12-14,1995-12-14
31808,52945,1999-12-24,2000-12-23
31809,40000,1986-12-29,1987-12-29
31810,40000,1988-02-07,1989-02-06
31811,79747,1999-10-19,2000-10-18
31812,40000,1992-03-06,1993-03-06
31813,40000,1999-03-21,2000-03-20
31814,44990,1993-01-08,1994-01-08
31815,54110,1991-07-20,1992-07-19
31816,40000,1990-01-04,1990-04-30
31817,64626,1991-07-06,1992-07-05
31818,40000,1996-02-16,1996-10-11
31819,43995,1996-10-05,1997-10-05
31820,40000,1987-07-27,1988-07-26
31821,50650,1998-04-02,1999-04-02
31822,57667,1988-01-28,1989-01-27
31823,55457,1999-11-24,2000-11-23
31824,85053,1997-06-26,1998-06-26
31825,58886,1991-08-20,1992-08-19
31826,75498,1998-11-06,1999-11-06
31827,83564,1989-08-28,1990-08-28
31828,79641,1994-06-17,1995-06-17
31829,64379,1994-09-21,1995-09-21
31830,94895,1988-05-22,1989-05-22
31831,81406,1992-11-02,1993-11-02
31832,54933,1992-01-30,1993-01-29
31833,43908,1994-10-06,1995-10-06
31834,45663,1993-06-01,1994-06-01
31835,40000,1996-09-24,1997-09-24
31836,72239,1988-10-25,1989-10-25
31837,51475,1991-01-01,1992-01-01
31838,58540,1993-03-29,1994-03-29
31839,60187,1992-10-17,1993-10-17
31840,58684,1995-01-04,1996-01-04
31841,60846,1985-03-22,1986-03-22
31842,55155,1994-08-26,1995-08-26
31843,55143,1998-11-13,1999-03-18
31844,63109,1990-03-31,1991-03-31
31845,52557,1996-11-17,1997-11-17
31846,40000,1992-04-04,1993-04-04
31847,40000,1989-03-08,1990-03-08
31848,40000,1989-03-09,1990-03-09
31849,68108,1998-12-15,1999-12-15
31850,56889,1990-11-08,1991-11-08
31851,51577,1986-03-18,1987-03-18
31852,40000,1989-05-09,1990-05-09
31853,49969,1999-08-25,2000-08-24
31854,69958,1990-05-16,1991-05-16
31855,65377,1990-10-12,1991-10-12
31856,40000,1995-11-11,1996-11-10
31857,61592,1989-07-10,1990-07-10
31858,72004,1992-02-08,1993-02-07
31859,86006,1986-12-22,1987-12-22
31860,40000,1991-04-08,1992-04-07
31861,40000,1993-03-11,1994-03-11
31862,53445,1996-08-21,1997-08-21
31863,90398,1990-12-18,1991-12-18
31864,63209,1993-02-08,1994-02-08
31865,40000,1999-03-23,2000-03-22
31866,70258,1989-10-22,1990-10-22
31867,40000,1993-05-09,1994-05-09
31868,76175,1987-08-07,1988-08-06
31869,40000,1996-11-15,1997-11-15
31870,50901,1992-08-26,1993-08-26
31871,68844,1987-08-25,1988-08-24
31872,40000,1985-03-26,1986-03-26
31873,83567,1998-02-21,1999-02-21
31874,49727,1995-01-08,1996-01-08
31875,40000,1988-01-27,1989-01-26
31876,40000,1987-09-29,1988-09-28
31877,40000,1998-10-21,1999-10-21
31878,75407,1989-11-10,1990-11-10
31879,50262,1993-05-03,1994-05-03
31880,48033,1995-11-28,1996-11-27
31881,61270,1987-06-10,1988-06-09
31882,40000,1996-10-26,1997-10-26
31883,63960,1994-01-01,1995-01-01
31884,40000,1989-04-09,1990-04-09
31885,62520,1986-09-23,1987-09-23
31886,51924,1988-12-18,1989-12-18
31887,65016,1989-07-26,1990-07-26
31888,40000,1986-09-01,1987-09-01
31889,40000,1992-02-17,1993-02-16
31890,72616,1985-09-22,1986-09-22
31891,81855,1997-12-09,1998-12-09
31892,54745,1995-10-30,1996-10-29
31893,56609,1993-08-21,1994-08-21
31894,45991,1988-04-28,1989-04-28
31895,46136,1993-09-16,1994-09-16
31896,49553,1991-01-08,1992-01-08
31897,68845,1992-03-31,1993-03-31
31898,42311,1995-12-15,1996-12-14
31899,57543,1993-05-17,1994-05-17
31900,40000,1999-10-13,1999-12-26
31901,87911,1998-12-05,1999-12-05
31902,40000,1996-12-15,1997-12-15
31903,46558,1989-11-25,1990-11-25
31904,57191,1993-05-18,1994-05-18
31905,68002,1995-01-19,1996-01-19
31906,40000,1989-01-19,1990-01-19
31907,49801,1985-12-06,1986-12-06
31908,43351,1985-07-24,1986-07-24
31909,46224,1994-07-19,1995-07-19
31910,40000,1996-07-27,1997-07-27
31911,57542,1989-07-19,1990-07-19
31912,46848,1985-06-23,1986-06-23
31913,43601,1989-10-07,1990-10-07
31914,47718,1990-02-05,1991-02-05
31915,64076,1988-10-03,1989-10-03
31916,44198,1998-05-22,1999-05-22
31917,40000,1989-07-21,1990-07-21
31918,54169,1995-10-01,1996-09-30
31919,57418,1995-09-03,1996-09-02
31920,40000,1992-01-08,1993-01-07
31921,57100,1994-12-15,1995-12-15
31922,46838,1991-08-03,1992-08-02
31923,47912,1994-01-27,1995-01-27
31924,57801,1996-11-11,1997-11-11
31925,40000,2000-01-25,2001-01-24
31926,70942,1993-03-14,1994-03-14
31927,40000,1994-02-01,1995-02-01
31928,53610,1995-10-15,1996-10-14
31929,40000,1992-06-29,1993-06-29
31930,76692,1998-09-18,1999-09-18
31931,57226,1985-09-02,1986-09-02
31932,46960,1991-08-20,1992-08-19
31933,45733,1985-06-13,1986-06-13
31934,62530,1985-09-13,1986-09-13
31935,40040,1993-02-14,1994-02-14
31936,58902,1996-04-25,1997-04-25
31937,40000,1995-10-25,1996-10-24
31938,40000,1993-07-31,1994-07-31
31939,60728,1985-12-21,1986-12-21
31940,40000,1986-01-19,1987-01-19
31941,40000,1995-03-18,1996-03-17
31942,40000,1995-02-17,1996-02-17
31943,49006,1987-05-31,1988-05-30
31944,70500,1989-12-29,1990-12-29
31945,76271,1993-11-10,1994-11-10
31946,50469,1989-08-06,1990-08-06
31947,40000,2000-01-30,2001-01-29
31948,47279,1988-07-28,1989-07-28
31949,57107,2000-01-09,2001-01-08
31950,50367,1987-10-09,1988-10-08
31951,89605,1994-12-06,1995-12-06
31952,61327,1993-02-15,1994-02-15
31953,40000,1995-11-13,1996-11-12
31954,61029,1991-02-13,1992-02-13
31955,60518,1992-11-18,1993-11-18
31956,59475,1995-05-13,1996-05-12
31957,68261,1993-10-26,1994-10-26
31958,106247,1997-09-10,1998-09-10
31959,62764,1990-05-19,1991-05-19
31960,40000,1993-05-05,1994-05-05
31961,40000,1986-01-01,1987-01-01
31962,40000,1992-01-20,1993-01-19
31963,52236,1994-01-20,1995-01-20
31964,46144,1995-04-02,1996-04-01
31965,40000,1997-10-21,1998-10-21
31966,40000,1989-12-22,1990-12-22
31967,44372,1996-07-02,1997-07-02
31968,45779,1988-05-20,1989-05-20
31969,87548,1990-05-30,1991-05-30
31970,40000,1985-12-25,1986-12-25
31971,40000,1994-08-14,1995-08-14
31972,68011,1993-01-21,1994-01-10
31973,63790,1990-12-20,1991-12-20
31974,40000,1993-01-22,1994-01-22
31975,40000,1998-12-16,1999-12-16
31976,49085,1990-02-18,1991-02-18
31977,40000,1998-03-16,1999-03-16
31978,50317,1994-01-25,1995-01-25
31979,43309,1992-06-05,1993-06-05
31980,40000,1990-12-26,1991-12-26
31981,57542,1990-04-26,1991-04-26
31982,54264,1998-06-09,1999-06-09
31983,40000,1998-12-02,1999-12-02
31984,40000,1995-06-19,1996-06-18
31985,40000,1991-07-08,1992-07-07
31986,49116,1985-09-25,1986-09-25
31987,53761,1992-08-16,1993-08-16
31988,40000,1991-06-28,1992-06-27
31989,70714,1997-12-15,1998-12-15
31990,55939,1999-07-16,2000-07-15
31991,40000,1996-05-23,1997-05-23
31992,40000,1989-03-22,1990-03-22
31993,40000,1998-07-11,1999-07-11
31994,40000,1990-12-08,1991-12-08
31995,47077,1997-12-30,1998-12-30
31996,40000,1998-11-27,1999-06-09
31997,57575,1985-10-10,1986-10-10
31998,40000,1990-07-04,1991-07-04
31999,75988,1986-01-04,1987-01-04
32000,70983,1988-06-12,1989-06-12
32001,69437,1997-03-14,1998-03-14
32002,40000,1986-07-03,1987-07-03
32003,40000,1997-11-04,1998-11-04
32004,50551,1985-09-25,1986-09-25
32005,72207,1987-04-24,1988-04-23
32006,41521,1989-03-05,1990-03-05
32007,67576,1990-10-08,1991-10-08
32008,40000,1990-08-27,1991-08-27
32009,71504,1996-02-06,1997-02-05
